en;it;es;fr
Royal Gardens;Giardini Imperiali;;
Lost Valley;Valle Sperduta;;
Deserted Lands;Terre Deserte;;
Abandoned Area;Zona Abbandonata;;
Seabed;Fondale Marino;;
Forbidden Jungle;Giungla Proibita;;
Fire Kingdom;Regno del Fuoco;;
Secret Laboratory;Laboratorio Segreto;;
Final Act;Atto Finale;;
Dead Valley;Valle dei Morti;;
Shelter;Rifugio;;
The Great Cluster;Il Grande Ammasso;;
Castle Grounds;Giardino del Castello;Terrenos del Castillo;Terres du Château
King's Castle;Castello del Re;Castillo del Rey;Palais Royal
Throne Room;Sala del Trono;Salón del Trono;Salle du Trône
Arena;Arena;Arena;Arène
Finalboss;Bossfinale;;
Laboratory;Laboratorio;;
