en;it;es;fr
\f[4]\nb[\n[4]]Reyjiro!\. What's going on?!\. Anything new?;\f[4]\nb[\n[4]]Reyjiro!\. Cosa succede?!\. Novità per noi?;;
\f[1]\nb[\n[1]]You're the one who almost killed us!;\f[1]\nb[\n[1]]Tu sei quello che ha tentato di ucciderci!;;
\nb[REYJIRO]Greetings, heroes.\. I do understand you may have some animosity towards me.\. Perhaps my actions were unnecessarily aggressive.;\nb[REYJIRO]Salve eroi.\. Capisco il risentimento che provate nei miei confronti.\. Forse sono stato un po' scortese nei modi.;;
\nb[REYJIRO]I was aware it would be difficult to persuade you of my intentions and to cross the breach peacefully, thus I attempted to force you through.;\nb[REYJIRO]Coscente che non sareste mai venuti dentro al varco con me di vostra spontanea volontà, ho tentato di buttarvici dentro con la forza e in tutti i modi.;;
\nb[REYJIRO]In the end, it seems to have worked.;\nb[REYJIRO]Alla fine sono riuscito nel mio intento.;;
\f[1]\nb[\n[1]]We were doing just fine in our own era!\| With all our adventures done and finished, we could enjoy a leisurely retirement!;\f[1]\nb[\n[1]]Stavamo così bene nella nostra epoca!\| Ormai avevamo finito tutte le avventure e non avevamo più nulla da fare!;;
\nb[REYJIRO]Hero, you were summoned here for an enemy of yours, which only you can defeat, lurks still.;\nb[REYJIRO]Eroe, ho chiamato te perché sei grado di sconfiggere il tuo nemico.;;
\f[1]\nb[\n[1]]Enemy?\| What enemy?\. They're all gone!;\f[1]\nb[\n[1]]Il mio nemico?\| Io non ho nemici!\. Mi amano tutti!;;
\nb[REYJIRO]Unfortunately not.\| This enemy of yours bade their time hiding in the shadows, waiting for the right time to make their move.;\nb[REYJIRO]Errato.\| Il tuo nemico ha sapientemente atteso la vostra mancanza per agire e sottomettere il Regno.;;
\nb[REYJIRO]The Fire Sage awaits rescue on the other side of this fiery ravine.;\nb[REYJIRO]Saggio Rosso si trova al di là di questo canyon di fuoco.;;
\f[3]\nb[\n[3]]How odd. You'd guess the feller would go nuts about all things hot and molten.;\f[3]\nb[\n[3]]Strano, forse gli piaceva troppo tutta questa lava bollente.;;
\nb[REYJIRO]You do not yet possess the means to cross the canyon.;\nb[REYJIRO]Al momento attuale non siete in grado di superare il canyon.;;
\f[1]\nb[\n[1]]Can't you fly us across?;\f[1]\nb[\n[1]]Portaci tu dall'altro lato!;;
\nb[REYJIRO]That won't do.\. The fiery heat from the lava would sear your flesh in mere seconds.;\nb[REYJIRO]Impossibile.\. Non riuscireste a sopportare le elevate temperature del canyon sopra di me, morireste in pochi minuti.;;
\nb[REYJIRO]Only by flying across you could avoid your fiery doom, yet that is something I cannot help you with.;\nb[REYJIRO]L'unica soluzione accettabile sarebbe attraversare il canyon in volo, ma questo mi è impossibile da fare.;;
\f[4]\nb[\n[4]]Us elder dragons eventually shed our wings as we age, for they become unable to hold us aloft anymore.;\f[4]\nb[\n[4]]Purtroppo noi draghi, una volta anziani, perdiamo inevitabilmente le nostre ali, e quindi anche la possibilità di volare.;;
\f[4]\nb[\n[4]]Reyjiro, how are we supposed to get across then?;\f[4]\nb[\n[4]]Reyjiro, come superiamo allora il canyon?;;
\nb[REYJIRO]There may still be a way.\| I sense a yet unborn dragon's presence in the \map[Forbidden Jungle].;\nb[REYJIRO]Un modo potrebbe esserci.\| Un uovo di drago sta per schiudersi nella \map[Forbidden Jungle].;;
\nb[REYJIRO]A young, hearty dragon whelp could easily carry you on their wings.;\nb[REYJIRO]Un giovane cucciolo di drago disporrebbe ancora delle sue forti ali per riuscirvi a portare in volo.;;
\nb[REYJIRO]You must recover the dragon egg and bring it here.\| I will impart the newborn with the knowledge needed to fly you across the canyon.;\nb[REYJIRO]Dovete recuperare quell'uovo e portarlo qui da me.\| Io sarò in grado di istruire il cucciolo affinché vi porti in volo al di là del canyon.;;
\f[1]\nb[\n[1]]Alright!\. Then it's off to the \map[Forbidden Jungle]!\. ...\.§ Where is that?;\f[1]\nb[\n[1]]Ottimo!\. Allora non ci resta che recarci nella \map[Forbidden Jungle]!\. ...\.§ Dove si trova?;;
\f[4]\nb[\n[4]]The \map[Forbidden Jungle] spreads far and wide where the Crooked Eye Forest once stood, due west of the castle!;\f[4]\nb[\n[4]]La \map[Forbidden Jungle] è dove una volta si trovava la Foresta dell'Occhio Sgorbio, ad ovest del Castello!;;
\f[4]\nb[\n[4]]Let's get to it!;\f[4]\nb[\n[4]]Andiamo, presto!;;
\nb[REYJIRO]Godspeed.;\nb[REYJIRO]Buona fortuna.;;
\f[4]\nb[\n[4]]Here's the egg!;\f[4]\nb[\n[4]]Ecco qua l'uovo di drago!;;
\nb[REYJIRO]Laudable work, heroes.;\nb[REYJIRO]Ottimo lavoro, eroi.;;
\f[3]\nb[\n[3]]Aw, it's so cute!;\f[3]\nb[\n[3]]Oh, che cucciolo!;;
\nb[REYJIRO]Heroes, only one of you can sit astride of this whelp…;\nb[REYJIRO]Eroi, in groppa al cucciolo di drago potrà salire soltanto uno di voi…;;
\f[1]\nb[\n[1]]Me, me, I'll do it!§ Let's go!!!;\f[1]\nb[\n[1]]Eccomi, eccomi!§ Andiamo!!!;;
\nb[REYJIRO]Alright. Once you're through the fiery canyon, \n[5] will use your position to set up a portal and allow passage to your fellow heroes.;\nb[REYJIRO]Bene, una volta attraversato il canyon di fuoco \n[5] ti raggiungerà per poter creare un teletrasporto tra te e gli altri eroi.;;
\nb[REYJIRO]So that \n[4], \n[2] and \n[3] can assist you further.\|§ Go.;\nb[REYJIRO]Così \n[4], \n[2] e \n[3] potranno raggiungerti.\|§ Vai.;;
Are you ready to fly across the fiery canyon?§ Hot and ready!§ I'm getting cold feet...;Sei pronto ad attraversare il canyon di fuoco?§ Sì§ No;;
\f[5]\nb[\n[5]]You have to grab a dragon egg from the \map[Forbidden Jungle]?\| Alright, I can transport you to the safehouse if you need.;\f[5]\nb[\n[5]]Così dovete recuperare questo uovo di drago dalla \map[Forbidden Jungle]?\| Buono, io posso teletrasportarvi rapidamente al rifugio.;;
Select \n[1] as the party leader to ride the dragon.;Scegli \n[1] per salire in groppa al drago.;;
