en;it;es;fr
Press the Arrow Keys to walk;Cammina premendo le Frecce Direzionali;;
Press ENTER to interact;Interagisci premendo INVIO;;
Press ESC to open/close the menu;Premi ESC per aprire/chiudere il menu;;
Hold SHIFT to run;Tieni premuto SHIFT per correre.;;
Press S to attack;Premi S per attaccare;;
Press A to jump;Premi A per saltare;;
;Premi Q per riporre/estrarre la spada;;
;Premi INVIO per correre sulla parete;;
;Premi INVIO su un pulsante per lasciarci un eroe posizionato;;
;Premi W per cambiare l’eroe capogruppo;;
;Premi S per sferrare un calcio con Fury;;
;Premi INVIO davanti una parete con Fury per scalarla;;
;Premi S per usare il medaglione magico di Tay;;
;Passa sopra una pozza d’acqua magica per saltare;;
;Premi S per sparare con Grin;;
;Tieni premuto INVIO per attivare la torretta;;
;Premi S per lanciare una palla di fuoco con il drago;;
;Tieni premuto INVIO davanti un dispositivo per sovraccaricarlo;;
;Premi S per sparare con l’Iron Suit;;
;\f[5]\nb[\n[5]]Volete tornare al rifugio?§ Sì§ No;;
;\f[5]\nb[\n[5]]Molto bene!\.\^ ;;
;\f[5]\nb[\n[5]]Quando volete tornarci venite da me, io sono qui!;;
;Per sbloccare questa Missione Extra sono richiesti§ \i[8]\c[1]\v[150] \v[165]\c[0]:§ Sblocca§ Annulla;;
;Non hai abbastanza \v[165]. ;;
;Un consistente gruppo di lupetti è riuscito ad entrare nei \map[Royal Gardens].;;
;Elimina tutti i nemici prima che riescano ad arrivare alle porte del castello e ad assaltarlo.;;
;OBIETTIVO: Elimina tutti i lupetti prima dello scadere del tempo.;;
;Delle cariche di energia pura sono state rilasciate nella \map[Lost Valley].;;
;Devi essere veloce e trovare e raccogliere tutte le cariche di energia prima che esplodano e devastino la valle.;;
;OBIETTIVO: Trova tutte le cariche di energia prima dello scadere del tempo.;;
;Un famigerato gruppo di predoni sta per raggiungere le \map[Deserted Lands] per creare distruzione e scompiglio.;;
;Percorri il deserto e trova e attiva tutte le torrette difensive in modo da riuscire a fronteggiare l’assalto. Infine elimina i predoni rimasti.;;
;OBIETTIVO: Attiva le 3 torrette difensive ed elimina i predoni prima dello scadere del tempo.;;
;Dei cybord super potenti vogliono uscire dalla \map[Abandoned Zone].;;
;Sfrutta la carica energetica continua e usa il fucile di \n[4] per respingere le ondate di nemici senza farti raggiungere.;;
;OBIETTIVO: Elimina tutte le ondate di cyborg.;;
;Nelle profondità del \map[Seabed] i saggi hanno scoperto un incredibile tesoro.;;
;Raggiungi il tesoro al più presto evitando di affogare.;;
;OBIETTIVO: Finisci il percorso senza che il timer dell’ossigeno raggiunga lo 0.;;
;\n[5] ha sparso degli anelli acceleratori nella \map[Forbidden Jungle], promettendo una buona ricompensa per chi riuscisse a passare attraverso tutti gli anelli senza perderne nemmeno uno.;;
;;;
;OBIETTIVO: Attraversa tutti gli anelli prima che spariscano.;;
;Una consistente armata di nemici lavici sta attraversano il Canyon di Fuoco con l’intento di preparavi un’imboscata.;;
;Sali in groppa al draghetto ed eliminali tutti senza lasciartene sfuggire nemmeno uno.;;
;OBIETTIVO: Elimina tutti i nemici lavici.;;
;\map[The Great Cluster] è stato distrutto, ma alcuni cyborg più resistenti degli altri sono sopravvissuti. \n[5] ti aiuterà in questa missione passandoti le Sfere di Energia.;;
;Raccogli tutte le sfere per indebolire i cyborg ed infine distruggerli tutti quanti. Attento a non farti colpire dai nemici, sono particolarmente forti.;;
;OBIETTIVO: Raccogli tutte le sfere ed elimina tutti i cyborg.;;
;Per poter andare sott'acqua devi aver appreso la rispettiva abilità.;;
;\c[1]\v[165] Nuove Figurine§ \c[10]SBLOCCATE!;;
;\c[1]\v[165] Nuova Figurina§ \c[10]SBLOCCATA!;;
;Il baule è chiuso e c'è bisogno di una chiave per aprirlo.;;
;Il distributore è esaurito.;;
;I predoni sono arrivati: dirigiti nella grotta all'entrata delle Terre Deserte ed eliminali tutti.;;
;Complimenti, hai completato il gioco al 100%!\| \c[1]Sala Audio\c[0] e \c[1]Disegni Originali\c[0] sono ora disponibili nella Galleria!;;
;Non puoi salvare in questo momento.\|\.\^;;
;La porta è chiusa e c’è bisogno di una chiave per aprirla.;;
;Acquista§ Annulla;;
